module,kind,name,fields,field_count,path
custody,response,CustodyDiscrepancyResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'discrepancyNumber'}, {'type': 'String', 'name': 'reconciliationId'}, {'type': 'String', 'name': 'discrepancyTypeId'}, {'type': 'CustodyDiscrepancyStatus', 'name': 'status'}, {'type': 'BigDecimal', 'name': 'differenceQuantity'}, {'type': 'Instant', 'name': 'openedAt'}]",7,src/main/java/dz/sh/hidra/modules/custody/api/rest/response/CustodyDiscrepancyResponse.java
custody,response,CustodyMeasurementPeriodResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'periodCode'}, {'type': 'String', 'name': 'agreementId'}, {'type': 'String', 'name': 'transferPointId'}, {'type': 'Instant', 'name': 'periodStart'}, {'type': 'Instant', 'name': 'periodEnd'}, {'type': 'CustodyPeriodStatus', 'name': 'status'}]",7,src/main/java/dz/sh/hidra/modules/custody/api/rest/response/CustodyMeasurementPeriodResponse.java
custody,response,CustodyTransferTicketResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'ticketNumber'}, {'type': 'String', 'name': 'measurementPeriodId'}, {'type': 'String', 'name': 'agreementId'}, {'type': 'String', 'name': 'transferPointId'}, {'type': 'CustodyTicketStatus', 'name': 'status'}, {'type': 'Instant', 'name': 'ticketDate'}, {'type': 'Instant', 'name': 'approvedAt'}]",8,src/main/java/dz/sh/hidra/modules/custody/api/rest/response/CustodyTransferTicketResponse.java
custody,response,package-info,[],0,src/main/java/dz/sh/hidra/modules/custody/api/rest/response/package-info.java
documents,request,LinkDocumentToTargetRequest,"[{'type': 'String', 'name': 'documentId'}, {'type': 'String', 'name': 'documentVersionId'}, {'type': 'String', 'name': 'targetModule'}, {'type': 'String', 'name': 'targetTypeCode'}, {'type': 'String', 'name': 'targetId'}, {'type': 'String', 'name': 'targetCodeSnapshot'}, {'type': 'String', 'name': 'targetLabelSnapshot'}, {'type': 'String', 'name': 'linkRoleId'}, {'type': 'boolean', 'name': 'primaryLink'}, {'type': 'String', 'name': 'linkedByActorId'}]",10,src/main/java/dz/sh/hidra/modules/documents/api/rest/request/LinkDocumentToTargetRequest.java
documents,request,RegisterDocumentRequest,"[{'type': 'String', 'name': 'code'}, {'type': 'String', 'name': 'titleAr'}, {'type': 'String', 'name': 'titleFr'}, {'type': 'String', 'name': 'titleEn'}, {'type': 'String', 'name': 'documentTypeId'}, {'type': 'String', 'name': 'documentCategoryId'}, {'type': 'String', 'name': 'classificationId'}, {'type': 'int', 'name': 'confidentialityLevel'}, {'type': 'String', 'name': 'ownerModule'}, {'type': 'String', 'name': 'ownerTargetTypeCode'}, {'type': 'String', 'name': 'ownerTargetId'}, {'type': 'String', 'name': 'ownerTargetCodeSnapshot'}, {'type': 'String', 'name': 'ownerTargetLabelSnapshot'}, {'type': 'String', 'name': 'createdByActorId'}, {'type': 'String', 'name': 'createdByDisplayNameSnapshot'}]",15,src/main/java/dz/sh/hidra/modules/documents/api/rest/request/RegisterDocumentRequest.java
documents,request,UploadDocumentVersionRequest,"[{'type': 'String', 'name': 'documentId'}, {'type': 'int', 'name': 'versionNumber'}, {'type': 'String', 'name': 'versionLabel'}, {'type': 'String', 'name': 'titleAr'}, {'type': 'String', 'name': 'titleFr'}, {'type': 'String', 'name': 'titleEn'}, {'type': 'String', 'name': 'description'}, {'type': 'String', 'name': 'storageObjectId'}, {'type': 'String', 'name': 'mimeType'}, {'type': 'String', 'name': 'originalFilename'}, {'type': 'String', 'name': 'fileExtension'}, {'type': 'long', 'name': 'fileSizeBytes'}, {'type': 'String', 'name': 'checksumAlgorithm'}, {'type': 'String', 'name': 'checksumValue'}, {'type': 'String', 'name': 'languageCode'}, {'type': 'LocalDate', 'name': 'documentDate'}, {'type': 'LocalDate', 'name': 'effectiveFrom'}, {'type': 'LocalDate', 'name': 'effectiveTo'}, {'type': 'String', 'name': 'uploadedByActorId'}, {'type': 'String', 'name': 'uploadedByDisplayNameSnapshot'}]",20,src/main/java/dz/sh/hidra/modules/documents/api/rest/request/UploadDocumentVersionRequest.java
documents,request,package-info,[],0,src/main/java/dz/sh/hidra/modules/documents/api/rest/request/package-info.java
documents,response,DocumentResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'code'}, {'type': 'String', 'name': 'titleFr'}, {'type': 'String', 'name': 'documentTypeId'}, {'type': 'String', 'name': 'classificationId'}, {'type': 'int', 'name': 'confidentialityLevel'}, {'type': 'DocumentStatus', 'name': 'status'}, {'type': 'String', 'name': 'currentVersionId'}, {'type': 'String', 'name': 'ownerModule'}, {'type': 'String', 'name': 'ownerTargetId'}, {'type': 'Instant', 'name': 'createdAt'}]",11,src/main/java/dz/sh/hidra/modules/documents/api/rest/response/DocumentResponse.java
documents,response,DocumentTargetLinkResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'documentId'}, {'type': 'String', 'name': 'documentVersionId'}, {'type': 'String', 'name': 'targetModule'}, {'type': 'String', 'name': 'targetTypeCode'}, {'type': 'String', 'name': 'targetId'}, {'type': 'String', 'name': 'linkRoleId'}, {'type': 'boolean', 'name': 'primaryLink'}, {'type': 'Instant', 'name': 'linkedAt'}, {'type': 'boolean', 'name': 'active'}]",10,src/main/java/dz/sh/hidra/modules/documents/api/rest/response/DocumentTargetLinkResponse.java
